canal,condicion,n_sujetos,r_pearson,p_corr,r_sb,metodo
P8,S1 obj,121,0.7376319792975986,4.956146843390174e-22,0.8490082918429839,homogeneo
P8,S2 nomatch,121,0.7632546587247325,2.532443749468895e-24,0.8657338915262004,homogeneo
PO8,S1 obj,121,0.8439989369104092,5.486859952789602e-34,0.9154006762330523,homogeneo
PO8,S2 nomatch,121,0.7884233522023726,7.106422415168774e-27,0.881696552699852,homogeneo
T8,S1 obj,121,0.4921208327461382,9.878017027264835e-09,0.6596259792719684,homogeneo
T8,S2 nomatch,121,0.3505074674953751,8.102382846505092e-05,0.5190752008878846,homogeneo
TP8,S1 obj,121,0.5815893477796282,2.6504175584142865e-12,0.7354492474245777,homogeneo
TP8,S2 nomatch,121,0.6075360126447008,1.4838761573065755e-13,0.7558599096578734,homogeneo
P8,S1 obj,121,0.6875662498498994,3.0348716150317677e-18,0.8148613423752165,ponderado
P8,S2 nomatch,121,0.6155646083356666,5.761944843374249e-14,0.7620427003161615,ponderado
PO8,S1 obj,121,0.7421809498369816,2.0330883519272296e-22,0.8520136210953616,ponderado
PO8,S2 nomatch,121,0.6455582775144233,1.3091455399822072e-15,0.7846070070390017,ponderado
T8,S1 obj,121,0.2894828773288906,0.001279654261222889,0.4489906495362578,ponderado
T8,S2 nomatch,121,0.20050257346701694,0.027448635282740795,0.3340310598218399,ponderado
TP8,S1 obj,121,0.5043624962896748,3.6753170249735418e-09,0.6705331959997979,ponderado
TP8,S2 nomatch,121,0.46506742730443956,7.689439852527789e-08,0.6348751171952702,ponderado
