ventana,metrica,canal,condicion,hemisferio,n_control,n_alcoholic,control_media,control_sd,alcoholic_media,alcoholic_sd,diferencia
c240 (220-260 ms),media_c240,P8,S1 obj,derecho,45,77,5.07836103868669,5.2046553705658845,-0.6849174850579932,3.5550248391918786,5.763278523744684
c240 (220-260 ms),media_c240,P8,S2 nomatch,derecho,45,77,4.65619315317187,5.94280039162516,-1.8098159413314632,3.7914080116208817,6.466009094503333
c240 (220-260 ms),media_c240,PO8,S1 obj,derecho,45,77,7.19480496928533,7.091709615147385,-0.15308524348178562,4.3285887240275915,7.3478902127671155
c240 (220-260 ms),media_c240,PO8,S2 nomatch,derecho,45,77,5.966651516462001,7.749136023476288,-1.282070012248502,4.800536644586868,7.248721528710503
c240 (220-260 ms),media_c240,T8,S1 obj,derecho,45,77,0.128753570674898,2.878518276754634,-1.1965670721605575,1.754427688733574,1.3253206428354556
c240 (220-260 ms),media_c240,T8,S2 nomatch,derecho,45,77,-0.4898342289313388,3.59859702286644,-2.304840924369723,2.717767951186898,1.815006695438384
c240 (220-260 ms),media_c240,TP8,S1 obj,derecho,45,77,2.2439324906150313,3.511830262232492,-1.0469887331169772,2.4937613276809056,3.2909212237320085
c240 (220-260 ms),media_c240,TP8,S2 nomatch,derecho,45,77,1.789675647800227,4.680980729193883,-1.9907121377156212,3.058265995284698,3.780387785515848
c240 (220-260 ms),media_c240,P7,S1 obj,izquierdo,45,77,4.189093521767731,4.439005216308846,-0.6773458463862548,3.474992796643517,4.866439368153986
c240 (220-260 ms),media_c240,P7,S2 nomatch,izquierdo,45,77,4.2980809394181225,5.552711930076978,-0.7618726959867577,3.56197117883084,5.05995363540488
c240 (220-260 ms),media_c240,PO7,S1 obj,izquierdo,45,77,6.372178267022366,5.993367808162304,-0.10267998350369296,4.0340376777010025,6.474858250526059
c240 (220-260 ms),media_c240,PO7,S2 nomatch,izquierdo,45,77,5.637117653443615,6.752454694699234,-0.34727468099332776,4.2639418617251135,5.984392334436943
c240 (220-260 ms),media_c240,T7,S1 obj,izquierdo,45,77,-0.3311805180111671,2.758783588421212,-1.2182750248295986,1.9125035906353456,0.8870945068184315
c240 (220-260 ms),media_c240,T7,S2 nomatch,izquierdo,45,77,-0.07507414295682328,3.5111994451816155,-1.6924377493081297,2.277179776277917,1.6173636063513064
c240 (220-260 ms),media_c240,TP7,S1 obj,izquierdo,45,77,1.3123418729892689,3.1532652460546218,-1.0585285182540964,2.4248421234155875,2.3708703912433653
c240 (220-260 ms),media_c240,TP7,S2 nomatch,izquierdo,45,77,1.7155146267914627,4.094188094130503,-1.2461091053114863,2.6441712858033015,2.9616237321029493
c320 (290-340 ms),media_c320,P8,S1 obj,derecho,45,77,6.768033971307418,5.241153093631562,0.9418684684118604,3.2400931956344183,5.826165502895557
c320 (290-340 ms),media_c320,P8,S2 nomatch,derecho,45,77,2.355159207407972,6.798839774938642,-2.179305212101521,3.749747897952982,4.534464419509494
c320 (290-340 ms),media_c320,PO8,S1 obj,derecho,45,77,7.588000338335783,6.4526260407706495,0.6933197287500635,3.8908343827743685,6.894680609585719
c320 (290-340 ms),media_c320,PO8,S2 nomatch,derecho,45,77,2.7384809304459736,7.977004414534233,-2.7419012932825395,4.726930644972284,5.480382223728514
c320 (290-340 ms),media_c320,T8,S1 obj,derecho,45,77,2.271259380173971,2.9530967379738464,0.3088687463582127,1.9831667259500942,1.9623906338157584
c320 (290-340 ms),media_c320,T8,S2 nomatch,derecho,45,77,-2.2928467314438192,4.201833605605828,-1.8560421016617583,3.0422353933884083,-0.4368046297820609
c320 (290-340 ms),media_c320,TP8,S1 obj,derecho,45,77,4.528232637700496,3.6018152039037066,0.6792668674227066,2.3654100274218433,3.8489657702777893
