sujeto,grupo,canal,condicion,n_trials,peso_min,peso_max,peso_efectivo
co2a0000364,alcoholic,P8,S1 obj,40,0.0,0.10541812408743852,20.643005195430252
co2a0000364,alcoholic,P8,S2 match,26,0.0,0.08063867590646565,19.715516901058784
co2a0000364,alcoholic,P8,S2 nomatch,21,0.0,0.11534941565231299,13.558526798145113
co2a0000364,alcoholic,PO8,S1 obj,40,0.0,0.08559097845379031,19.577091718965868
co2a0000364,alcoholic,PO8,S2 match,26,0.0,0.11941336994128793,13.098544259275215
co2a0000364,alcoholic,PO8,S2 nomatch,21,0.0,0.20466936623448734,10.316162444269763
co2a0000364,alcoholic,T8,S1 obj,40,0.0,0.11169284595682791,16.806996404529603
co2a0000364,alcoholic,T8,S2 match,26,0.0,0.153111175937912,13.197169296173541
co2a0000364,alcoholic,T8,S2 nomatch,21,0.000807054393658156,0.09950476306075227,15.661961741937585
co2a0000364,alcoholic,TP8,S1 obj,40,0.0,0.11498502598593337,18.867820398412448
co2a0000364,alcoholic,TP8,S2 match,26,0.0,0.07786007480659876,18.79396660904027
co2a0000364,alcoholic,TP8,S2 nomatch,21,0.0,0.1579227018346721,12.529105737912532
co2a0000365,alcoholic,P8,S1 obj,49,0.0,0.06337726079386664,25.06095813185237
co2a0000365,alcoholic,P8,S2 match,19,0.0,0.16771189100894224,10.966877136342273
co2a0000365,alcoholic,P8,S2 nomatch,22,0.0,0.151353536701113,10.506302155463583
co2a0000365,alcoholic,PO8,S1 obj,49,0.0,0.0671416570716865,26.352236286688658
co2a0000365,alcoholic,PO8,S2 match,19,0.0,0.16879781467936028,11.234496006716288
co2a0000365,alcoholic,PO8,S2 nomatch,22,0.0,0.13816757667162646,12.415726284914191
co2a0000365,alcoholic,T8,S1 obj,49,0.0,0.06225953912073154,26.56085804533612
co2a0000365,alcoholic,T8,S2 match,19,0.0,0.2068619582570276,9.926808462175487
co2a0000365,alcoholic,T8,S2 nomatch,22,0.0,0.14523078500688805,11.608309264688993
co2a0000365,alcoholic,TP8,S1 obj,49,0.0,0.12746741148266258,17.504259477010596
co2a0000365,alcoholic,TP8,S2 match,19,0.0,0.25685351242966564,7.80180779839656
co2a0000365,alcoholic,TP8,S2 nomatch,22,0.0,0.11515413365939588,13.067383058744591
co2a0000368,alcoholic,P8,S1 obj,39,0.0,0.09796819914737975,20.195461852943804
co2a0000368,alcoholic,P8,S2 match,14,0.0,0.2303903936928003,7.579410406242079
co2a0000368,alcoholic,P8,S2 nomatch,20,0.0,0.17547784815269446,10.604362822103951
co2a0000368,alcoholic,PO8,S1 obj,39,0.0,0.07563207053487699,19.760910810435448
co2a0000368,alcoholic,PO8,S2 match,14,0.0,0.19035177585391302,6.816328431417278
