ventana_ms,canal,condicion,n_control,n_alcoholic,media_ctrl,media_alc,t_estadistico,p_valor,sig
200-260,P8,S1 obj,45,77,7.776071881496046,5.5143570853166475,3.102003733861289,0.002852274517039176,Si
200-260,PO8,S1 obj,45,77,9.563743456876118,6.4969755601812205,2.985787762598524,0.004155593773134536,Si
200-260,T8,S1 obj,45,77,3.694188677788558,2.9735835524902825,1.9952429711967616,0.049883419319548344,Si
200-260,TP8,S1 obj,45,77,4.865659481818721,3.941611973297505,2.0212052800772335,0.046805756047766454,Si
200-260,P8,S2 nomatch,45,77,8.086578796094955,6.472861462921247,1.9303277485953987,0.05805878900678689,No
200-260,PO8,S2 nomatch,45,77,9.467274400568261,7.1622859541670945,2.1969068348098504,0.0316772182933094,Si
200-260,T8,S2 nomatch,45,77,5.013265494363088,4.403999120294623,1.6014507771651674,0.11224387019217645,No
200-260,TP8,S2 nomatch,45,77,6.153747459112603,5.047346497205116,2.151576204692664,0.034391359099015036,Si
210-270,P8,S1 obj,45,77,7.98441637557687,5.104030896454829,3.9083858176593775,0.00023474781778486765,Si
210-270,PO8,S1 obj,45,77,9.575332007645592,6.053890889110481,3.3926251223141257,0.001284851409460461,Si
210-270,T8,S1 obj,45,77,3.8326321710006663,2.966226867303883,2.455561737467503,0.016534782247484663,Si
210-270,TP8,S1 obj,45,77,5.1743494749478876,3.791060510535684,3.083801260889963,0.0028813385013633473,Si
210-270,P8,S2 nomatch,45,77,8.360055625247172,6.027292149812403,2.725347234383912,0.008283649703677825,Si
210-270,PO8,S2 nomatch,45,77,9.79252582654653,6.602205292792071,3.0092527059200807,0.0037293289173444873,Si
210-270,T8,S2 nomatch,45,77,5.197307190777673,4.489199834240951,1.8772058633185313,0.0632182264375175,No
210-270,TP8,S2 nomatch,45,77,6.510443935101713,4.953403141051315,2.953457408127107,0.004105692129950769,Si
220-260,P8,S1 obj,45,77,7.606983055797375,4.275005025516882,4.529736038031232,2.7768351126755776e-05,Si
220-260,PO8,S1 obj,45,77,9.346557815245461,5.164055417268982,4.015779182193043,0.00018129306130694237,Si
220-260,T8,S1 obj,45,77,3.390854254488994,2.6421343114940012,2.0734339271583693,0.04182306376560966,Si
220-260,TP8,S1 obj,45,77,4.712179699100141,3.1770206326626376,3.3928968235772126,0.0011175805876505833,Si
220-260,P8,S2 nomatch,45,77,7.636225447969991,5.146744576992836,2.8296611603362245,0.006257240688696638,Si
220-260,PO8,S2 nomatch,45,77,9.21368038033406,5.624913164857743,3.3309495734624326,0.001457291586743659,Si
220-260,T8,S2 nomatch,45,77,4.776375039188698,4.223975598780504,1.466816888299394,0.14546453424323708,No
220-260,TP8,S2 nomatch,45,77,5.785314948439664,4.428611772258668,2.5297064911306424,0.013436158919341315,Si
230-270,P8,S1 obj,45,77,7.922249218254808,4.151918796511416,5.128839016972083,3.3077357516218534e-06,Si
230-270,PO8,S1 obj,45,77,9.516491998945922,5.100629995835892,4.255185309936938,8.364202551070567e-05,Si
230-270,T8,S1 obj,45,77,3.648945703013392,2.697386897718756,2.735560915702714,0.007887820721447199,Si
230-270,TP8,S1 obj,45,77,5.071495043874272,3.137781845752142,4.282351701455069,5.5440952861837554e-05,Si
230-270,P8,S2 nomatch,45,77,8.07720790565219,4.923861933253719,3.601271499385819,0.0006406430854344284,Si
230-270,PO8,S2 nomatch,45,77,9.62505508764144,5.520314182144395,3.864168889102214,0.00027470328901738707,Si
230-270,T8,S2 nomatch,45,77,4.851529999069528,4.194111870495947,1.6976016304624644,0.0926254489896496,No
230-270,TP8,S2 nomatch,45,77,6.158211555622229,4.383577473440197,3.233733068446439,0.0018358120690021077,Si
210-280,P8,S1 obj,45,77,8.148985154322117,5.1795766391343445,4.0211828122151685,0.00016189376145256374,Si
210-280,PO8,S1 obj,45,77,9.634841684522705,6.137213895194363,3.3603889208882367,0.0014174672654240308,Si
210-280,T8,S1 obj,45,77,3.944918465726108,3.0422214155550424,2.563089560322239,0.01246989353155596,Si
210-280,TP8,S1 obj,45,77,5.33737763636748,3.8725386495840035,3.2448002048755056,0.0017856138846982484,Si
210-280,P8,S2 nomatch,45,77,8.675756458890213,6.082979402950135,3.0726242024325328,0.003106717953565083,Si
210-280,PO8,S2 nomatch,45,77,9.99177488640335,6.6884217085815845,3.146856081967019,0.0024880351950957664,Si
210-280,T8,S2 nomatch,45,77,5.37201697774205,4.531592757974629,2.2343323665842045,0.02753187664318124,Si
210-280,TP8,S2 nomatch,45,77,6.7022007414941855,5.022327977686547,3.197482406177591,0.001973276988480069,Si
200-280,P8,S1 obj,45,77,8.232953663961938,5.722851683300484,3.4230833719397467,0.0010991435336928403,Si
200-280,PO8,S1 obj,45,77,9.75997933607441,6.715828279956539,2.953491695669139,0.004574135585736321,Si
200-280,T8,S1 obj,45,77,4.019050820428161,3.165861749340924,2.4219235421639147,0.01794741688448373,Si
200-280,TP8,S1 obj,45,77,5.391626607365761,4.155003378089961,2.717358125818384,0.008214911213870803,Si
200-280,P8,S2 nomatch,45,77,8.843592684116391,6.585698988457356,2.7345949896009185,0.00804647765516991,Si
200-280,PO8,S2 nomatch,45,77,10.085830122067032,7.336290718565642,2.6527482643572906,0.010025003270664894,Si
200-280,T8,S2 nomatch,45,77,5.403326762712529,4.577228932500782,2.1872697814689954,0.03087583919973624,Si
200-280,TP8,S2 nomatch,45,77,6.79073029854441,5.24352592692633,2.991202509033189,0.0036721193905384667,Si
